ticker,price,change,changePct,high,low,open,previousClose,updatedAt
TSLA,376.65,2.93,0.78,376.65,376.65,373.71999999999997,373.71999999999997,2026-04-24T15:05:06.919Z
MSFT,418.99,3.24,0.78,418.99,418.99,415.75,415.75,2026-04-24T15:05:07.155Z
NVDA,208.61,8.97,4.49,208.61,208.61,199.64000000000001,199.64000000000001,2026-04-24T15:05:09.001Z
AAPL,271.095,-2.335,-0.85,271.095,271.095,273.43,273.43,2026-04-24T15:05:08.059Z
AMD,346.61,41.28,13.52,346.61,346.61,305.33000000000004,305.33000000000004,2026-04-24T15:04:47.925Z
NFLX,91.955,-0.865,-0.93,91.955,91.955,92.82,92.82,2026-04-24T15:04:47.967Z
GOOG,335.895,-1.855,-0.55,335.895,335.895,337.75,337.75,2026-04-24T15:04:48.954Z
AMZN,260.06,4.98,1.95,260.06,260.06,255.08,255.08,2026-04-24T15:04:49.886Z
PLTR,140.95,-0.62,-0.44,140.95,140.95,141.57,141.57,2026-04-24T15:04:52.884Z
AVGO,417.78,-2.16,-0.51,417.78,417.78,419.94,419.94,2026-04-24T15:04:53.890Z
MU,504.04,22.32,4.63,504.04,504.04,481.72,481.72,2026-04-24T15:04:52.904Z
META,668,8.85,1.34,668,668,659.15,659.15,2026-04-24T15:04:55.946Z
ORCL,172.72,-3.56,-2.02,172.72,172.72,176.28,176.28,2026-04-24T15:04:55.021Z
SPX,7132.96,0,0,7130.8501,7130.8501,7130.8501,7130.8501,2026-04-24T15:04:54.847Z
QQQ,660.4299,9.0099,1.38,660.4299,660.4299,651.42,651.42,2026-04-24T15:04:57.914Z
DIA,491.34,-1.66,-0.34,491.34,491.34,493,493,2026-04-24T15:04:57.869Z
IWM,276.23,0.71,0.26,276.23,276.23,275.52000000000004,275.52000000000004,2026-04-24T15:04:59.872Z
SPY,711.4719,3.0219,0.43,711.4719,711.4719,708.45,708.45,2026-04-24T15:05:00.929Z
SOXL,126.56,13.79,12.23,126.56,126.56,112.77000000000001,112.77000000000001,2026-04-24T15:05:02.874Z
USO,133.265,-1.455,-1.08,133.265,133.265,134.72,134.72,2026-04-24T15:05:02.874Z
SLV,68.605,0.225,0.33,68.605,68.605,68.38000000000001,68.38000000000001,2026-04-24T15:05:02.892Z
GLD,433.69,2.65,0.61,433.69,433.69,431.04,431.04,2026-04-24T15:05:04.903Z
